Unique_Key,Created_Date,Closed_Date,Agency,Complaint_Type,Descriptor,Borough,Incident_Zip,Status,Open_Data_Channel_Type,Resolution_Days
63591999,2025-01-01 14:07:16,2025-01-09 11:27:49,OTI,Linknyc,Damaged/Defective,Manhattan,10032.0,Closed,Online,7
63605637,2025-01-02 22:47:23,2025-01-24 14:03:53,OTI,Linknyc,Graffiti/Dirty Condition,Brooklyn,11215.0,Closed,Online,21
63625856,2025-01-05 00:07:45,2025-01-13 10:33:20,OTI,Linknyc,WiFi/Internet Not Working/Slow,Manhattan,10019.0,Closed,Phone,8
63660916,2025-01-06 13:46:57,2025-01-09 11:27:48,OTI,Linknyc,Damaged/Defective,Manhattan,10032.0,Closed,Online,2
63671486,2025-01-07 16:10:30,2025-01-08 14:33:00,OTI,Linknyc,Damaged/Defective,Queens,11101.0,Closed,Online,0
63671861,2025-01-07 23:32:30,2025-01-10 13:54:19,OTI,Linknyc,Damaged/Defective,Manhattan,10022.0,Closed,Online,2
